Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Severe Weather;8/27/2011;19:00;8/29/2011;13:31;North Carolina Eastern Municipal Power Agency;Eastern North Carolina;200;136000;severe weather
Severe Weather;8/27/2011;13:00;8/29/2011;13:00;Delmarva Power & Light Company;Delaware, Maryland;Unknown;165000;severe weather
Severe Weather;8/27/2011;23:00;8/29/2011;8:00;Southern Maryland Electric Cooperative (SMECO);Maryland;Unknown;108000;severe weather
Public Appeal to Reduce Electricity Usage;8/24/2011;13:20;8/29/2011;19:00;ERCOT ISO;Texas;0;0;public appeal
Electrical System Separation (Islanding), Severe Weather;8/29/2013;14:57;8/29/2013;15:29;Xcel Energy;Ashland, Wisconsin;15;7000;islanding, severe weather
Physcial Attack, Vandalism;8/29/2013;9:50;8/29/2013;9:50;Empire District Electric Co;Joplin, Missouri;Unknown;Unknown;vandalism, physical
Public Appeal to Reduce Electricity Usage;8/3/2011;16:29;8/3/2011;23:40;Grand River Dam Authority;Northeast Oklahoma;300;Unknown;public appeal
Public Appeal to Reduce Electricity Usage;8/3/2011;16:30;8/3/2011;21:00;Entergy;Central Arkansas;0;0;public appeal
Severe Weather;8/2/2011;21:30;8/3/2011;19:00;Exelon Corporation/ComEd;Northeast, Illinois;Unknown;71500;severe weather
Public Appeal to Reduce Electricity Usage;8/2/2011;10:15;8/3/2011;9:16;Oklahoma Gas & Electric;Oklahoma;Unknown;Unknown;public appeal
Severe Weather;8/28/2011;5:00;8/30/2011;5:00;Long Island Power Authority;Long Island, New York;Unknown;152261;severe weather
Severe Weather;8/28/2011;2:58;8/30/2011;2:58;PPL Electric Utilities;Eastern and Northeastern Pennsylvania;110;284000;severe weather
Severe Weather;8/28/2011;0:30;8/30/2011;12:30;FirstEnergy Corp: Jersey Central Power & Light;Northern and Central New Jersey;Unknown;650000;severe weather
Severe Weather;8/28/2011;0:23;8/30/2011;12:23;Public Service Electric and Gas Company;New Jersey;500;665000;severe weather
Severe Weather;8/28/2011;9:42;8/30/2011;12:01;Niagara Mohawk Power Corporation;Eastern New York;Unknown;100000;severe weather
