Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Voltage Reduction due to Severe Weather - Cold;1/6/2014;19:50;1/6/2014;20:44;PJM Interconnection;Unknown;Unknown;Unknown;severe weather, cold
Voltage Reduction due to Severe Weather - Cold;1/6/2014;19:50;1/6/2014;20:44;PPL Electric Utilities Corp;Pennsylvania;Unknown;Unknown;severe weather, cold
Vandalism;1/6/2014;14:37;1/6/2014;14:38;PacifiCorp;Utah;Unknown;Unknown;vandalism
Physcial Attack, Vandalism;1/7/2013;10:43;1/7/2013;10:43;Delmarva Power & Light Company;Denton, Maryland;Unknown;Unknown;vandalism, physical
Voltage Reduction, Public Appeal, Load Shed 100+MW due to Severe Weather - Cold;1/7/2014;18:00;1/7/2014;23:00;South Carolina Electric and Gas;South Carolina;4853;677858;severe weather, cold
Voltage Reduction, Public Appeal due to Severe Weather - Cold;1/7/2014;7:58;1/7/2014;11:00;Duke Energy Progress;North Carolina;14435;Unknown;severe weather, cold, public appeal
Public Appeal due to Severe Weather - Cold;1/7/2014;6:00;1/7/2014;8:30;Tennessee Valley Authority;Northeast Tennessee;Unknown;Unknown;severe weather, cold
Public Appeal due to Severe Weather - Cold;1/7/2014;6:00;1/7/2014;8:30;Memphis Light Gas and Water Division;Tennessee;Unknown;Unknown;severe weather, cold
Severe Weather - Cold;1/7/2014;6:18;1/7/2014;6:19;PJM Interconnection;Pennsylvania;Unknown;Unknown;severe weather, cold
Public Appeal due to Severe Weather - Cold;1/6/2014;20:45;1/7/2014;21:00;PJM Interconnection;Unknown;Unknown;Unknown;severe weather, cold
Public Appeal due to Severe Weather - Cold;1/6/2014;7:01;1/7/2014;9:00;ERCOT;Texas;Unknown;Unknown;severe weather, cold
Voltage Reduction, Public Appeal, Load Shed 100+MW due to Severe Weather - Cold;1/8/2014;6:00;1/8/2014;9:00;South Carolina Electric and Gas;South Carolina;4545;677858;severe weather, cold
Voltage Reduction due to Severe Weather - Cold;1/8/2014;5:00;1/8/2014;6:30;American Electric Power;Unknown;576;Unknown;severe weather, cold
Public Appeal due to Severe Weather - Cold;1/7/2014;16:15;1/8/2014;13:20;Duke Energy Progress;North Carolina;Unknown;Unknown;severe weather, cold
Fuel Supply Emergency due to Severe Weather - Cold;1/7/2014;9:30;1/8/2014;9:30;Duke Energy Carolinas;Piedmont North Carolina, Piedmont South Carolina;Unknown;Unknown;severe weather, cold
Public Appeal due to Severe Weather - Cold;1/7/2014;21:00;1/8/2014;9:00;PJM Interconnection;Unknown;Unknown;Unknown;severe weather, cold
Vandalism;1/9/2012;14:30;1/9/2012;15:30;ISO New England/Convex;Watertown, Connecticut;Unknown;Unknown;vandalism
Fuel Supply Emergency - Natural Gas;1/7/2014;10:59;1/9/2014;9:00;Prairie Power, Inc.;Illinois;Unknown;Unknown;fuel supply emergency, natural gas
Vandalsim;10/11/2012;0:00;10/11/2012;12:01;Potomac Electric Power Company (PEPCO);Seat Pleasant, Maryland;0;0;vandalism
Physical Attack;10/11/2013;14:30;10/11/2013;18:30;MISO - Entergy;Keo, Arkansas;Unknown;Unknown;vandalism, physical
Vandalism;10/14/2011;14:20;10/14/2011;14:20;Atlantic City Electric;English Creek, New Jersey;0;0;vandalism
Electrical System Separation (Islanding);10/14/2012;10:36;10/14/2012;10:50;Pacific Gas & Electric Co;Northern California;3;2035;islanding
Vandalism, Theft;10/15/2012;14:15;10/15/2012;14:16;ISO New England;Southeast Vermont;0;0;vandalism, physical
Cyber Event with Potential to Cause Impact;10/16/2013;11:15;10/16/2013;18:00;Duke Energy Progress;Roxboro Plant, North Carolina;0;0;vandalism, cyber
Vandalism;10/17/2011;15:44;10/17/2011;15:44;Duke Energy;Southwest Ohio;7;2000;vandalism
Vandalism;10/17/2011;3:34;10/17/2011;10:42;Potomac Electric Power Company;Seat Pleasant, Maryland;0;0;vandalism
Suspected Physical Attack;10/18/2011;3:45;10/18/2011;5:25;PECO Energy;Holmesburg Substation, Philadelphia, Pennsylvania;0;0;vandalism, physical
Physical Attack;10/19/2013;14:32;10/19/2013;22:00;Pacific Gas & Electric Co;California;Unknown;Unknown;vandalism, physical
Vandalism;10/20/2011;7:15;10/20/2011;7:15;Atlantic City Electric;McKee, New Jersey;0;0;vandalism
Electrical System Separation (Islanding);10/21/2013;5:18;10/21/2013;5:33;Pacific Gas & Electric Co;Location Unknown;115;433;islanding
Physical Attack, Vandalism;10/22/2012;0:00;10/22/2012;12:01;Potomac Electric Power Company (PEPCO);Norbeck, Maryland;0;0;vandalism, physical
Transmission System Interruption;10/23/2012;9:10;10/23/2012;9:16;Crawfordsville Electric, Light & Power;Crawfordsville, Indiana;49;9800;transmission interruption
Physical Attack, Vandalism;10/24/2012;15:15;10/24/2012;15:16;Delmarva Power & Light Company;Frankford, Delaware;0;0;vandalism, physical
Physical Attack, Vandalism;10/24/2012;0:00;10/24/2012;12:01;Potomac Electric Power Company (PEPCO);Kingswood, Maryland;0;0;vandalism, physical
Suspected Physical Attack;10/24/2012;0:00;10/24/2012;12:01;Potomac Electric Power Company (PEPCO);Brighton, Maryland;0;0;vandalism, physical
Physical Attack, Vandalism;10/25/2012;18:51;10/25/2012;19:30;Delmarva Power & Light Company;Newark, Delaware;0;0;vandalism, physical
Physical Attack, Vandalism;10/25/2012;14:39;10/25/2012;18:00;Black Hills/Colorado Elec.Util;Pueblo, Colorado;0;0;vandalism, physical
Physical Attack, Vandalism;10/25/2012;0:00;10/25/2012;12:01;Potomac Electric Power Company (PEPCO);West Lanham, Maryland;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;10/24/2011;23:37;10/26/2011;23:00;PJM Interconnection;Holmesburg Substation, Philadelphia, Pennsylvania;0;0;vandalism, physical
Suspected Physical Attack;10/26/2013;7:13;10/26/2013;7:14;Arizona Public Service Co;Arizona;Unknown;Unknown;vandalism, physical
Vandalism;10/27/2011;1:00;10/27/2011;2:36;Midwest ISO;Munster, Indiana;Unknown;Unknown;vandalism
Severe Weather;10/26/2011;5:00;10/27/2011;15:00;Public Service Company of Colorado;Denver, Ft. Collins, Colorado;Unknown;204000;severe weather
Severe Weather - Hail Storm;10/27/2013;4:27;10/27/2013;22:27;CenterPoint Energy;Houston, Texas;Unknown;171117;severe weather, hail
Suspected Physical Attack;10/29/2012;15:00;10/29/2012;15:01;Nevada Power Company d/b/a NV Energy;Las Vegas, Nevada;Unknown;Unknown;vandalism, physical
Physical Attack, Vandalism;10/29/2012;9:00;10/29/2012;9:01;City of Tacoma (TPWR);LaGrande, Washington;0;0;vandalism, physical
Physical Attack, Vandalism;10/30/2012;15:00;10/30/2012;15:01;Black Hills/Colorado Elec.Util;Pueblo, Colorado;Unknown;Unknown;vandalism, physical
Vandalism;10/30/2012;13:20;10/30/2012;13:25;ISO New England;Fitzwilliam, New Hampshire;0;0;vandalism
Physical Attack, Vandalism;10/30/2012;0:00;10/30/2012;12:02;Potomac Electric Power Company (PEPCO);Hyattsville, Maryland;0;0;vandalism, physical
Severe Weather - Hurricane Sandy;10/29/2012;18:12;10/30/2012;19:35;Dominion Virginia Power;Virginia;520;156000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;14:40;10/30/2012;18:16;ISO New England obo NSTAR;Boston, Southeast Massachusetts;Unknown;50000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;19:15;10/30/2012;15:02;ISO New England;Southeast and Seacoast Maine;Unknown;50000;severe weather, hurricane/tropical storm
Suspected Cyber Attack;6/21/2013;8:31;10/30/2013;14:09;ITC Transmission;Michigan, Iowa;Unknown;Unknown;vandalism, cyber
Severe Weather;10/29/2011;20:00;10/31/2011;20:00;Orange and Rockland Utilities, Inc;New Jersey, New York;Unknown;74000;severe weather
Severe Weather - Hurricane Sandy;10/29/2012;17:13;10/31/2012;11:00;Baltimore Gas & Electric Company;Greater Baltimore Maryland;0;219000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;16:45;10/31/2012;11:00;ISO New England/PSNH;New Hampshire;Unknown;50000;severe weather, hurricane/tropical storm
Suspected Physical Attack;10/5/2012;17:30;10/5/2012;17:50;Western Area Power Authority - Sierra Nevada Region;Greater Sacramento, California;Unknown;Unknown;vandalism, physical
Vandalism;10/6/2011;11:07;10/6/2011;11:07;PacifiCorp;Oquirrh Substation, Utah;0;0;vandalism
Physical Attack;10/6/2013;7:25;10/6/2013;9:15;MISO - AECC;Jacksonville, Arkansas;Unknown;9200;vandalism, physical
Suspected Physical Attack;10/7/2011;8:04;10/7/2011;16:00;City of Tacoma - TPWR;Olympic Pipeline, Spanaway, Washington;Unknown;Unknown;vandalism, physical
Vandalsim;10/9/2012;0:00;10/9/2012;12:01;Potomac Electric Power Company (PEPCO);Seat Pleasant, Maryland;0;0;vandalism
Severe Weather - Nor'easter;10/30/2012;2:00;11/1/2012;22:00;Detroit Edison Co;Greater Detroit Michigan;Unknown;133777;severe weather, storm
Severe Weather - Hurricane Sandy;10/29/2012;14:45;11/1/2012;1:30;ISO New England/REMVEC;Eastern Massachusetts;Unknown;50000;severe weather, hurricane/tropical storm
Physical Attack - Vandalism;11/1/2013;13:26;11/1/2013;13:27;Delmarva Power & Light Company;Wilmington, Delaware;Unknown;Unknown;vandalism, physical
Winter Storm;11/6/2002;22:00;11/10/2002;0:00;Pacific Gas & Electric Co.;Northern and Central California;270;939000;severe weather, winter storm
Severe Weather - Hurricane Sandy;10/29/2012;13:00;11/12/2012;14:00;Long Island Power Authority (LIPA);Long Island, New York;0;632816;severe weather, hurricane/tropical storm
Electrical System Separation (Islanding);11/12/2013;14:04;11/12/2013;14:05;Pacific Gas & Electric Co;Valle, California;55;48400;islanding
Loss of Power from Wholesale Provider, Major Distribution Disruption;11/12/2013;9:14;11/12/2013;10:30;Farmers' Electric Coop, Inc;Eastern Central New Mexico;Unknown;Unknown;fuel supply emergency
Vandalism;11/13/2011;11:30;11/13/2011;12:00;ISO New England / obo Public Service of New Hampshire;Cate Road, Deerfield, New Hampshire;0;0;vandalism
Vandalism;11/14/2011;14:24;11/14/2011;14:24;Atlantic City Electric;McKee, New Jersey;0;0;vandalism
Suspected Cyber Attack;11/15/2012;21:09;11/15/2012;21:26;ITC Transmission;Iowa, Michigan;Unknown;Unknown;vandalism, cyber
Physical Attack, Vandalism;11/15/2012;5:38;11/15/2012;5:39;ISO New England;Southeast Massachusetts;0;0;vandalism, physical
Physical Attack - Vandalism;11/16/2013;15:15;11/16/2013;15:16;PacifiCorp;Salt Lake County, Utah;Unknown;Unknown;vandalism, physical
Severe Weather - Thunderstorms;11/17/2013;14:31;11/17/2013;22:30;Commonwealth Edison Co;Entire ComEd Territory Illinois;Unknown;190000;severe weather, thunderstorm
System-wide voltage reductions of 3 percent or more;11/17/2013;12:35;11/17/2013;13:40;City of Rochelle;Rochelle, Indiana;38;7500;voltage reduction
Fuel Supply Deficiency;11/17/2012;10:00;11/18/2012;10:00;ERCOT;Comanche Peak, Texas;1231;0;fuel supply emergency
Severe Weather - Thunderstorms;11/17/2013;16:19;11/18/2013;18:00;American Electric Power;Indiana, Michigan;Unknown;77346;severe weather, thunderstorm
Severe Weather;10/29/2011;16:16;11/2/2011;21:30;Consolidated Edison Company of NY, Inc;New York City area;Unknown;50000;severe weather
Severe Weather;10/29/2011;15:00;11/2/2011;8:15;Central Hudson Gas & Electric Corp.;Mid-Hudson Valley Region, New York;Unknown;145000;severe weather
Physical Attack, Vandalism;11/2/2012;9:30;11/2/2012;12:10;ISO New England;Concord, Vermont;0;0;vandalism, physical
Severe Weather - Hurricane Sandy;10/29/2012;9:00;11/2/2012;18:00;Delmarva Power & Light Company;Delaware, Maryland;Unknown;70000;severe weather, hurricane/tropical storm
Severe Weather - Nor'easter;10/29/2012;19:00;11/2/2012;5:00;American Electric Power;Indiana, Kentucky, Michigan, Ohio;Unknown;173273;severe weather, storm
Physical Attack - Vandalism;11/2/2013;8:25;11/2/2013;8:26;PacifiCorp;Salt Lake City, Utah;Unknown;Unknown;vandalism, physical
Physical Attack - Vandalism;11/20/2013;3:08;11/20/2013;3:09;Pacific Gas & Electric Co;Salt Lake County Utah;Unknown;Unknown;vandalism, physical
Severe Weather - Ice and Snow Storm;11/17/2013;7:00;11/20/2013;18:54;Detroit Edison Co;Michigan;Unknown;325325;severe weather, winter storm
Severe Weather - Thunderstorms;11/17/2013;16:47;11/20/2013;16:47;Duke Energy Midwest;Central Indiana;Unknown;61705;severe weather, thunderstorm
Severe Weather - Thunderstorms;11/17/2013;13:06;11/20/2013;13:06;Northern Indiana Public Service Company;North Central Indiana;Unknown;75065;severe weather, thunderstorm
Severe Weather - Tornadoes;11/17/2013;16:47;11/20/2013;11:59;Duke Energy Indiana Inc;Central Indiana;535;61705;severe weather, tornado
Severe Weather - Tornadoes;11/17/2013;12:35;11/20/2013;11:00;Ameren Missouri;Central Missouri, Central Illinois;Unknown;200000;severe weather, tornado
Ice Storm;11/17/2002;6:00;11/21/2002;8:00;Northeast Utilities;Northwest and North Central Connecticut;Unknown;224912;severe weather, winter storm
Physical Attack, Vandalism;11/21/2012;14:50;11/21/2012;14:51;Delmarva Power & Light Company;Bethany Beach, Delaware;Unknown;Unknown;vandalism, physical
Severe Weather - Thunderstorms;11/17/2013;16:45;11/21/2013;16:45;Consumers Energy Co;Entire Lower Peninsula Michigan;Unknown;50000;severe weather, thunderstorm
Suspected Physical Attack;11/22/2011;23:16;11/22/2011;23:16;Northern Indiana Public Service Co;Indiana;0;0;vandalism, physical
Severe Weather - Wind Storm;11/21/2013;19:45;11/22/2013;3:20;Pacific Gas & Electric Co;Northern California;150;89500;severe weather, wind
Physical Attack - Vandalism;11/24/2013;7:38;11/24/2013;7:39;Pacific Gas & Electric Co;Salt Lake County Utah;Unknown;Unknown;vandalism, physical
Physical Attack, Vandalism;11/26/2012;15:07;11/26/2012;15:08;Delmarva Power & Light Company;Georgetown, Delaware;Unknown;Unknown;vandalism, physical
Physical Attack, Vandalism;11/26/2012;0:37;11/26/2012;0:38;Delmarva Power & Light Company;Frankfort, Delaware;0;0;vandalism, physical
Physical Attack, Vandalism;11/27/2012;13:07;11/27/2012;13:40;ISO New England;New Hampshire;0;0;vandalism, physical
Severe Weather;10/29/2011;12:57;11/3/2011;23:00;PPL Electric Utilities;Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania;Unknown;146721;severe weather
Severe Weather - Hurricane Sandy;10/29/2012;18:46;11/3/2012;10:45;Orange and Rockland Utilities, Inc.;Southeast New York, New Jersey;Unknown;200000;severe weather, hurricane/tropical storm
Vandalism;11/30/2011;10:00;11/30/2011;11:00;City of Tacoma - TPWR;Orchard Substation, Washington;0;0;vandalism
Vandalism;11/4/2011;10:46;11/4/2011;10:46;PacifiCorp;Sweetwater County, Wyoming;0;0;vandalism
Severe Weather;10/29/2011;11:18;11/4/2011;12:00;New York State Elec & Gas Corp;Southeast New York;Unknown;161151;severe weather
Severe Weather - Hurricane Sandy;10/29/2012;12:00;11/4/2012;23:00;FirstEnergy Corp: Jersey Central Power & Light;New Jersey;Unknown;217000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;8:00;11/4/2012;23:00;Atlantic City Electric Co;New Jersey;Unknown;Unknown;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;18:11;11/4/2012;22:50;PPL Electric Utilities Corp;Central Pennsylvania;Unknown;400000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;15:15;11/4/2012;20:00;ISO New England/CONVEX;Connecticut, Western Massachusetts;0;649075;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;18:48;11/4/2012;11:36;Iberdrola USA (NYSEG);New York;Unknown;371000;severe weather, hurricane/tropical storm
Physical Attack - Vandalism;11/4/2013;9:04;11/4/2013;9:05;ISO New England;Connecicut;Unknown;Unknown;vandalism, physical
Severe Weather - Heavy Winds;11/2/2013;0:00;11/4/2013;6:00;Puget Sound Energy;King, Whatcom, and Skagit, Washington;Unknown;105000;severe weather, wind
Severe Weather - Hurricane Sandy;10/29/2012;16:00;11/5/2012;23:59;FirstEnergy Corp: CEI;Greater Cleveland Ohio;0;346000;severe weather, hurricane/tropical storm
Severe Weather;10/29/2011;14:30;11/6/2011;0:00;Public Service Electric and Gas Company;New Jersey;125;197000;severe weather
Severe Weather - Hurricane Sandy;10/29/2012;16:03;11/6/2012;0:00;PSE&G;New Jersey;Unknown;50000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;17:30;11/6/2012;12:00;Exelon Corporation/PECO;Greater Philadelphia Pennsylvania;Unknown;850000;severe weather, hurricane/tropical storm
Severe Weather;10/29/2011;8:59;11/7/2011;19:58;Metropolitan Edison Company;Pennsylvania;Unknown;312359;severe weather
Severe Weather;10/29/2011;16:14;11/7/2011;16:00;ISO New England;Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island;Unknown;1418100;severe weather
Severe Weather;10/29/2011;8:59;11/7/2011;15:00;Potomac Edison;Pennsylvania;Unknown;50000;severe weather
Severe Weather;10/29/2011;9:59;11/7/2011;13:00;Jersey Central Power & Light Company;Northwest and Central New Jersey;Unknown;379000;severe weather
Physical Attack, Vandalism;11/7/2012;14:21;11/7/2012;14:48;ISO New England;New Hampshire;0;0;vandalism, physical
Severe Weather - Hurricane Sandy;10/29/2012;16:00;11/7/2012;23:48;FirstEnergy Corp: Met-Ed;Eastern Pennsylvania;0;270000;severe weather, hurricane/tropical storm
Physical Attack;11/5/2013;10:10;11/7/2013;10:10;Duke Energy Indiana Inc;Indiana;Unknown;Unknown;vandalism, physical
Physical Attack, Vandalism;11/8/2012;9:34;11/8/2012;9:35;Delmarva Power & Light Company;Bishopville, Maryland;0;0;vandalism, physical
Severe Weather - Hurricane Sandy;10/29/2012;16:01;11/8/2012;19:00;Consolidated Edison Co-NY Inc;Greater New York City, New York;0;818000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;16:00;11/8/2012;17:08;FirstEnergy Corp: Potomac Edison;Maryland, West Virginia;Unknown;150000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Sandy;10/29/2012;0:00;11/9/2012;23:59;FirstEnergy Corp: Mon Power Company;West Virginia;0;208000;severe weather, hurricane/tropical storm
Suspected Physical Attack;12/10/2013;1:01;12/11/2013;1:01;Arizona Public Service Co;Arizona;Unknown;Unknown;vandalism, physical
Severe Weather - Ice/Snow;12/6/2013;1:51;12/11/2013;0:00;Oncor Electric Delivery Company LLC;Greater Houston, Texas;Unknown;881000;severe weather, winter storm
Winter Storm;12/11/2002;13:09;12/13/2002;10:00;Dominion-Virginia Power/North Carolina Power;Northern Virginia to Fredericksburg, Staunton to Harrisonburg;63;130000;severe weather, winter storm
Suspected Physical Attack;12/13/2011;3:19;12/14/2011;3:19;Dayton Power & Light;Clinton County Ohio;Unknown;0;vandalism, physical
Suspected Physical Attack;12/17/2012;6:55;12/17/2012;7:00;Tacoma Power (TPWR);Tacoma, Washington;0;0;vandalism, physical
Winter Storm;12/14/2002;11:00;12/19/2002;4:00;Pacific Gas & Electric;Northern and Central California;180;1500000;severe weather, winter storm
Suspected Physical Attack;12/19/2011;8:48;12/19/2011;16:00;City of Tacoma (TPWR);Croft Substation, Tacoma, Washington;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;12/2/2011;16:15;12/2/2011;20:30;Luminant Energy Company LLC;Rusk County Texas;Unknown;Unknown;vandalism, physical
Severe Weather;12/1/2011;10:00;12/2/2011;13:11;PacifiCorp;Wasatch Front Area Utah;Unknown;60000;severe weather
Severe Weather;12/1/2011;3:29;12/2/2011;13:05;Pacific Gas and Electric;Northern California;300;100000;severe weather
Severe Weather;11/30/2011;16:56;12/2/2011;10:00;Los Angeles Department of Water and Power;City of Los Angeles, California;Unknown;150000;severe weather
Suspected Physical Attack;12/20/2011;9:30;12/20/2011;9:31;City of Tacoma (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;12/20/2011;7:45;12/20/2011;8:45;PacifiCorp;Sweet Home, Oregon;12;2500;vandalism, physical
Winter Storm;12/19/2002;6:00;12/21/2002;5:00;Pacific Gas & Electric;Northern and Central California;56;385000;severe weather, winter storm
Suspected Cyber Attack;12/21/2011;10:30;12/21/2011;10:30;Idaho Power Company;Boise, Idaho;0;0;vandalism, cyber
Severe Weather - Ice/Snow;12/22/2013;6:16;12/24/2013;23:59;Niagara Mohawk Power Corp.;Frontier/Genesee/Northern New York;Unknown;59000;severe weather, winter storm
Severe Weather - Ice/Snow;12/23/2013;15:20;12/25/2013;11:32;Central Maine Power Co;Central Maine Maine;Unknown;52500;severe weather, winter storm
Severe Weather - Ice/Snow;12/22/2013;6:30;12/25/2013;5:12;Detroit Edison Co;Michigan;350;140735;severe weather, winter storm
Winter Storm;12/25/2002;17:00;12/26/2002;5:00;PPL Corporation;Eastern Pennsylvania;250;106000;severe weather, winter storm
Severe Weather - Thunderstorm;12/26/2012;14:50;12/26/2012;19:40;Town of Stantonsburg - (NC);Stantonsburg, North Carolina;3;1200;severe weather, thunderstorm
Severe Weather - Cold Front, High Winds;12/25/2012;9:28;12/26/2012;16:28;CenterPoint Energy;Houston, Texas;294;262000;severe weather, cold, wind
Winter Storm;12/25/2002;10:00;12/27/2002;8:30;Metropolitan Edison Co./First Energy;Reading, York, Hanover, Hamburg Pennsylvania;Unknown;95630;severe weather, winter storm
Physical Attack;12/27/2013;9:43;12/27/2013;12:43;Arizona Public Service Co;Gilabend Arizona;Unknown;Unknown;vandalism, physical
Fuel Supply Emergencies (Coal);12/13/2013;11:00;12/27/2013;11:00;City of Garland;Texas;Unknown;Unknown;fuel supply emergency, coal
Fuel Supply Emergencies (Coal);12/13/2013;11:00;12/27/2013;11:00;Texas Municipal Power Agency;Texas;Unknown;Unknown;fuel supply emergency, coal
Severe Weather - Winter Storm;12/25/2012;0:45;12/28/2012;16:15;Entergy;Arkansas, Louisiana, Mississippi, Texas;Unknown;242509;severe weather, winter storm
Severe Weather - Ice/Snow;12/22/2013;3:28;12/28/2013;23:45;Consumers Energy Co;Southern Lower Penninsula, Michigan;Unknown;50000;severe weather, winter storm
Suspected Physical Attack;12/3/2012;0:02;12/3/2012;0:30;Tacoma Power (TPWR);Tacoma, Washington;0;0;vandalism, physical
Physical Attack;12/30/2013;11:00;12/30/2013;11:01;PacifiCorp;Salt Lake County Utah;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;12/31/2011;21:26;12/31/2011;21:26;City of Tacoma (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Transmission Interruption;12/31/2012;14:21;12/31/2012;16:30;City of Washington - (NC);North Carolina;40;12000;transmission interruption
Severe Weather - Winter Storm;12/2/2012;5:20;12/4/2012;9:00;Pacific Gas & Electric Co;Northern California;250;125000;severe weather, winter storm
Load Shed 100+ MW;12/4/2013;5:00;12/4/2013;16:17;WECC - Loveland;Idaho Falls Area Idaho, Utah-Idaho Border Utah;150;Unknown;load shedding
Public Appeal to Reduce Electricity Usage;12/6/2011;8:00;12/6/2011;20:00;Montana Dakota Utilities;Bismarck-Mandan, North Dakota;155;34500;public appeal
Suspected Physical Attack;12/5/2011;14:00;12/6/2011;17:00;City of Tacoma (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Load Shed;12/6/2012;21:18;12/6/2012;21:31;California Department of Water Resources;Greater San Jose, California;390;Unknown;load shedding
Physical Attack - Vandalism, Theft;12/6/2013;8:47;12/6/2013;8:49;PacifiCorp;Saratoga, Utah;Unknown;Unknown;vandalism, physical
Severe Weather;12/7/2011;19:29;12/7/2011;22:57;Dominion Virginia Power;Central Virginia;240;60000;severe weather
Suspected Physical Attack;12/6/2011;17:38;12/7/2011;11:04;ITC Holdings;Montague, Michigan;0;0;vandalism, physical
Severe Weather;12/1/2011;0:45;12/7/2011;21:00;Southern California Edison (SCE);Southern California;Unknown;91690;severe weather
Suspected Physical Attack;12/8/2011;8:45;12/8/2011;16:30;City of Tacoma (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Ice Storm;12/3/2002;18:30;12/9/2002;10:30;Entergy Corporation;Arkansas;Unknown;43000;severe weather, winter storm
Severe Weather - Ice/Snow;12/9/2013;6:54;12/9/2013;14:22;Dominion Virginia Power;Virginia Service Territory;293;88000;severe weather, winter storm
Ice Storm;1/30/2002;16:00;2/10/2002;9:00;Missouri Public Service;Missouri;210;95000;severe weather, winter storm
Vandalism;2/10/2011;13:00;2/10/2011;13:00;Tacoma Power - TPWR;LaGrande, Washington;0;0;vandalism
Cold Weather Event;2/9/2011;16:30;2/10/2011;0:33;ERCOT ISO;Texas;Unknown;Unknown;severe weather, cold
Generator Trip, Voltage Reduction;2/10/2013;19:46;2/10/2013;20:15;Puerto Rico Electric Power Authority;Puerto Rico;350;Unknown;voltage reduction, generator trip
Suspected Physical Attack;2/11/2012;8:47;2/11/2012;10:30;Xcel Energy (Public Service Company of Colorado);Lamar, Colorado;0;0;vandalism, physical
Suspected Physical Attack;2/11/2012;8:55;2/11/2012;8:55;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Severe Weather - Winter Storm Nemo;2/8/2013;20:00;2/11/2013;20:30;ISO New England/National Grid;Central and eastern Massachusetts, Rhode Island;Unknown;50000;severe weather, winter storm
Severe Weather - Winter Storm Nemo;2/8/2013;20:55;2/12/2013;4:00;ISO New England/NSTAR;Boston area and Southeast Massachusetts;Unknown;50000;severe weather, winter storm
Physical Attack - Vandalism;2/12/2014;14:15;2/12/2014;14:16;ISO New England;Vermont;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;2/13/2012;7:02;2/13/2012;16:25;Progress Energy Carolinas;Asheville, North Carolina;Unknown;Unknown;vandalism, physical
Vandalism;2/13/2013;9:30;2/13/2013;9:30;Potomac Electric Power Company;Fort Washington, Maryland;1;1;vandalism
Physical Attack - Vandalism;2/14/2014;13:00;2/14/2014;15:00;PacifiCorp;Portland, Oregon;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;2/15/2012;5:33;2/15/2012;17:30;Puget Sound Energy;Port Orchard, Washington;0;0;vandalism, physical
Suspected Physical Attack;2/14/2012;19:20;2/15/2012;16:00;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Vandalism;2/15/2013;0:00;2/15/2013;12:01;Potomac Electric Power Company;Tuxedo, Maryland;Unknown;Unknown;vandalism
Fuel Supply Emergency - Petroleum;2/13/2013;17:39;2/15/2013;17:50;Footprint Power Salem Harbor Operations LLC;Eastern Massachusetts;1;1;fuel supply emergency, petroleum
Severe Weather - Snow/Ice;2/12/2014;12:10;2/15/2014;15:20;Duke Energy Progress;North Carolina;Unknown;200000;severe weather, winter storm
Severe Weather - Snow/Ice;2/12/2014;11:03;2/15/2014;8:40;South Carolina Electric and Gas;South Carolina;700;120124;severe weather, winter storm
Severe Weather - Snow/Ice;2/12/2014;7:48;2/15/2014;4:30;Southern Company;Northern/Northeastern Georgia;1246;373835;severe weather, winter storm
Vandalism;2/16/2013;7:54;2/16/2013;7:54;Potomac Electric Power Company;Prince George's County Maryland;1;1;vandalism
Suspected Cyber Attack;2/17/2012;3:00;2/17/2012;11:33;Entergy Services, Inc;Little Rock, Arkansas;Unknown;Unknown;vandalism, cyber
Physical Attack - Vandalism;2/18/2014;18:43;2/18/2014;18:44;PacifiCorp;Bend, Oregon;Unknown;Unknown;vandalism, physical
Vandalism;2/19/2011;16:34;2/19/2011;16:34;Delmarva Power & Light Company;Harrington, Delaware;0;0;vandalism
